25 3 1 2400
27 1 1.259712 2808
29 1 1.560896 2842
31 2 1.906624 3255
33 2 2.299968 4224
35 3 2.744 4760
37 3 3.241792 5328
39 4 3.79641599999999 5928
41 5 4.410944 6560
43 5 5.088448 7224
45 6 5.832 7920
47 7 6.644672 8648
49 8 7.52953599999999 9408
51 10 8.48966399999999 10200
53 12 9.528128 12402
55 13 10.648 13365
57 13 11.852352 12768
59 16 13.144256 15399
61 17 14.526784 14640
63 20 16.003008 17577
65 21 17.576 18720
67 21 19.248832 17688
69 23 21.024576 18768
71 25 22.906304 19880
73 32 24.897088 23652
75 30 27 22200
77 36 29.218112 26334
79 39 31.554496 27729
81 41 34.012224 29160
83 44 36.594368 30627
85 50 39.304 32130
87 52 42.144192 33669
89 54 45.118016 35244
91 59 48.228544 36855
93 63 51.4788479999999 38502
95 67 54.872 40185
97 64 58.4110719999999 37248
99 76 62.0991359999999 43659
